No.,element,peak_mm,net_cps,bg_minus,bg_plus,sd_pct,dl_ppm,flagged
57,Cl,151.478,4.9,7.8,7.9,16.95,44.0,False
57,F,199.14,0.3,3.9,2.3,158.15,364.0,True
57,K,119.485,42.5,23.9,21.5,4.05,55.0,False
57,Mn,146.243,3.1,1.3,1.9,14.92,264.0,False
57,Al,90.995,988.4,16.2,9.1,0.72,161.0,False
57,P,197.118,7.4,2.7,2.7,10.83,146.0,False
57,Mg,107.534,844.7,38.3,0.0,0.79,169.0,False
57,Ca,107.121,2363.3,33.6,34.9,0.47,88.0,False
57,Ti,88.305,313.4,0.0,42.0,1.35,121.0,False
58,Na,129.476,578.8,0.0,22.8,1.34,180.0,False
58,S,171.948,1.3,5.1,4.1,45.49,103.0,True
58,Fe,134.739,101.6,2.2,2.5,2.27,354.0,False
58,Si,77.822,5318.6,41.7,25.3,0.31,260.0,False
58,Cl,151.478,62.2,7.6,6.8,2.57,42.0,False
58,F,199.14,6.5,3.8,2.0,10.19,356.0,False
58,K,119.485,930.1,47.5,20.7,0.62,69.0,False
58,Mn,146.243,2.5,2.5,1.9,19.34,302.0,False
58,Al,90.995,656.2,14.2,9.4,0.89,155.0,False
58,P,197.118,0.6,2.8,2.8,94.1,149.0,True
58,Mg,107.534,4.4,22.3,0.0,25.99,129.0,False
58,Ca,107.121,88.1,28.7,29.9,3.08,82.0,False
58,Ti,88.305,55.1,0.0,40.7,3.97,119.0,False
59,Na,129.476,576.4,0.0,23.2,1.34,182.0,False
59,S,171.948,1.7,5.1,5.5,38.02,113.0,True
59,Fe,134.739,104.6,2.5,3.1,2.25,389.0,False
59,Si,77.822,5312.8,42.2,24.1,0.31,259.0,False
59,Cl,151.478,61.1,7.7,7.6,2.61,44.0,False
59,F,199.14,4.9,4.2,3.2,13.26,395.0,False
59,K,119.485,920.7,49.6,21.7,0.63,70.0,False
59,Mn,146.243,2.3,2.1,1.9,19.96,285.0,False
59,Al,90.995,654.2,13.5,8.6,0.89,150.0,False
59,P,197.118,0.7,2.6,2.3,77.16,138.0,True
59,Mg,107.534,2.0,21.5,0.0,54.2,127.0,True
59,Ca,107.121,81.2,29.9,29.8,3.28,82.0,False
59,Ti,88.305,55.2,0.0,42.2,4.0,121.0,False
60,Na,129.476,504.8,0.0,26.2,1.44,193.0,False
60,S,171.948,72.7,5.9,4.5,2.29,110.0,False
60,Fe,134.739,1.6,2.3,1.8,33.56,320.0,True
60,Si,77.822,3625.7,28.9,20.2,0.37,221.0,False
60,Cl,151.478,231.0,8.3,7.1,1.24,44.0,False
60,F,199.14,-0.6,3.2,2.5,100.0,346.0,True
60,K,119.485,195.2,23.9,19.3,1.45,54.0,False
60,Mn,146.243,0.2,1.9,1.9,184.79,283.0,True
60,Al,90.995,1982.6,19.8,10.2,0.51,176.0,False
60,P,197.118,-0.4,3.0,2.6,100.0,147.0,True
60,Mg,107.534,2.9,19.0,0.0,36.07,119.0,True
60,Ca,107.121,2881.4,30.9,36.5,0.42,88.0,False
60,Ti,88.305,-2.3,0.0,41.8,100.0,120.0,True
61,Na,129.476,527.3,0.0,22.9,1.41,181.0,False
61,S,171.948,69.1,4.9,5.3,2.36,111.0,False
61,Fe,134.739,2.6,2.0,1.7,21.69,306.0,False
61,Si,77.822,3619.9,29.1,17.7,0.37,217.0,False
